
mysql> SELECT Customer.c_name, Locker_room.*
Query OK, 1 row affected (0.00 sec)

    -> FROM Customer
    -> JOIN Rents ON Customer.customer_id = Rents.customer_id
    -> JOIN Locker_room ON Rents.space_id = Locker_room.space_id;
+-------------------------+----------+------------------------+----------------------------+
| c_name                  | space_id | total_rentable_lockers | lockers_available_for_rent |
| Garrett Martin          |      130 |                     70 |                         35 |
| Dana Kim                |       13 |                     77 |                         10 |
| Adam Reyes              |       12 |                     78 |                         47 |
| Melinda Davis           |       42 |                     28 |                         20 |
| Brooke Shaw             |      760 |                     37 |                         36 |
| Michael Weaver          |       57 |                     91 |                         27 |
| Tina Allen              |       27 |                     74 |                         33 |
| Terry Benjamin          |       23 |                     92 |                         48 |
| Calvin Carter           |      646 |                     93 |                         42 |
| James Burns             |       25 |                     41 |                         26 |
| William Macias          |       25 |                     41 |                         26 |
| Mr. Bruce Thompson      |      790 |                     53 |                         13 |
| Veronica Williamson     |      630 |                     29 |                          7 |
| Heather Hawkins         |       99 |                     38 |                         12 |
| Miss Wendy Johns        |       30 |                     41 |                         11 |
| William Ayala           |       64 |                     48 |                         47 |
| Jonathan Ryan Jr.       |       49 |                     49 |                         42 |
| Bradley Black           |      687 |                     53 |                         11 |
| James Hood              |       57 |                     91 |                         27 |
| Melissa Melendez        |       29 |                     72 |                         18 |
| Tracy Miles             |       41 |                     33 |                         16 |
| Kelly Harrison          |       33 |                     35 |                         35 |
| Lawrence Gonzalez       |      664 |                     63 |                         12 |
| John Fuller             |       16 |                     94 |                         29 |
| Amy Ayala               |      676 |                     91 |                         24 |
| Patricia Mccarthy       |        8 |                     49 |                         38 |
| Jeffery Arias           |       41 |                     33 |                         16 |
| Robert Barton           |       17 |                     82 |                         24 |
| Linda Henderson         |       48 |                     29 |                          5 |
| Timothy Maddox          |      670 |                     50 |                         43 |
| Lisa Booth              |       23 |                     92 |                         48 |
| Donna Downs             |      563 |                     28 |                         19 |
| Russell Ford            |       11 |                    100 |                         47 |
| Jared Grant             |       20 |                     54 |                         46 |
| Cynthia Davenport       |      783 |                     66 |                         18 |
| Gregory Ramirez         |      720 |                     62 |                          9 |
| Mark Carroll            |      659 |                     52 |                         18 |
| Chelsey Obrien          |       44 |                     30 |                         24 |
| Allison Roach           |       34 |                     68 |                         14 |
| Anita Hernandez         |       10 |                     28 |                         12 |
| Karen Johnson           |       91 |                     93 |                          8 |
| Charles Mooney          |      130 |                     70 |                         35 |
| Cassandra Solis         |      643 |                     59 |                         17 |
| John Hernandez          |       56 |                     64 |                         43 |
| Mark Clarke             |       16 |                     94 |                         29 |
| Kimberly Esparza        |      705 |                     99 |                         39 |
| Luis Hall               |        2 |                     94 |                         19 |
| Jessica George          |       50 |                     51 |                         23 |
| Craig Webster           |      136 |                     47 |                          2 |
| David Lee               |      680 |                     67 |                          9 |
| Anna Walsh              |      700 |                     57 |                         21 |
| Destiny Meza            |       18 |                     98 |                         29 |
| Joshua Young            |       64 |                     48 |                         47 |
| Joseph Thornton         |       45 |                     28 |                         22 |
| Charles Kidd            |       55 |                     53 |                         37 |
| Aaron Morgan            |      754 |                     91 |                         33 |
| Nathaniel Johnson       |      710 |                     55 |                         10 |
| Robert Reed             |       49 |                     49 |                         42 |
| Victoria Alvarez        |      735 |                     69 |                          1 |
| Emily Montgomery        |      757 |                     51 |                         24 |
| Amy Lloyd               |       20 |                     54 |                         46 |
| Henry Sawyer            |       92 |                     89 |                         48 |
| Paula May               |       30 |                     41 |                         11 |
| Karen Sims              |       20 |                     54 |                         46 |
| Amber Watson            |      698 |                     70 |                         41 |
| Jeremy Brown            |      677 |                     36 |                         16 |
| Jenny Dunn              |       15 |                     58 |                          1 |
| James Sparks            |      743 |                     32 |                         19 |
| Kelly Jones             |       46 |                     92 |                         32 |
| David Singh             |       24 |                     34 |                         19 |
| Taylor Thompson         |       94 |                     70 |                         48 |
| Steven Adams            |       71 |                     67 |                         10 |
| Aaron Orr               |        9 |                     85 |                         47 |
| Jessica Donovan         |       16 |                     94 |                         29 |
| Manuel Vaughan Jr.      |       17 |                     82 |                         24 |
| William Thompson        |       30 |                     41 |                         11 |
| Carl Richards           |       16 |                     94 |                         29 |
| Gina Owens              |        3 |                     30 |                         28 |
| Anne Medina             |       50 |                     51 |                         23 |
| Laura Mann              |       11 |                    100 |                         47 |
| Brittany Smith          |        1 |                     85 |                         34 |
| Miss Lisa Martin MD     |       43 |                     63 |                         14 |
| Audrey Jordan           |       40 |                     43 |                         12 |
| Andrea Sawyer           |      769 |                     79 |                          9 |
| Craig Norris            |       49 |                     49 |                         42 |
| Amber Dennis            |       12 |                     78 |                         47 |
| Michele Tanner          |       28 |                     59 |                         20 |
| Jonathan Mann           |       19 |                     25 |                         16 |
| Kevin Williams          |       42 |                     28 |                         20 |
| Carrie Roth             |      731 |                     62 |                         30 |
| George Cooper           |      565 |                     38 |                          7 |
| Cameron Mayo            |       64 |                     48 |                         47 |
| Anthony Hicks           |       45 |                     28 |                         22 |
| Anthony Richardson      |       33 |                     35 |                         35 |
| Andrew Parsons          |       19 |                     25 |                         16 |
| Andrew Osborn           |       27 |                     74 |                         33 |
| Haley Moore             |        1 |                     85 |                         34 |
| Jeffrey Goodwin         |       49 |                     49 |                         42 |
| Deborah Bradford        |       45 |                     28 |                         22 |
| Matthew Blanchard       |       39 |                     96 |                         33 |
| John Roth               |      609 |                     91 |                          3 |
| David Boone             |      706 |                     79 |                         28 |
| Jack Turner             |       18 |                     98 |                         29 |
| Susan Watson            |      701 |                     87 |                         47 |
| Christina Smith         |       48 |                     29 |                          5 |
| Michael Davidson        |       21 |                     98 |                         14 |
| Katrina Watson          |      770 |                     27 |                          1 |
| Andres Blake            |       40 |                     43 |                         12 |
| Vanessa Acosta          |       13 |                     77 |                         10 |
| Rachel Stevens          |       29 |                     72 |                         18 |
| Melissa Schneider       |       97 |                     65 |                         31 |
| Patrick Griffin         |       93 |                     39 |                         10 |
| Michele Cox             |       25 |                     41 |                         26 |
| Joshua Armstrong        |       10 |                     28 |                         12 |
| Jonathan Lam            |        9 |                     85 |                         47 |
| Shane Garcia            |        1 |                     85 |                         34 |
| Mark Hall               |        9 |                     85 |                         47 |
| Valerie Morrison        |        8 |                     49 |                         38 |
| Jeffrey Castillo        |       10 |                     28 |                         12 |
| Tiffany Ray             |       19 |                     25 |                         16 |
| Laura Williams          |      752 |                     46 |                         44 |
| Richard Mccall          |       20 |                     54 |                         46 |
| Marcus Hess             |      130 |                     70 |                         35 |
| Regina Taylor           |      155 |                     49 |                         37 |
| Dana Blackburn MD       |       40 |                     43 |                         12 |
| Olivia Young            |      548 |                     78 |                         43 |
| Rebecca Harris          |       14 |                     89 |                         17 |
| Jesse Powell            |       32 |                     53 |                         12 |
| Veronica Perez          |       92 |                     89 |                         48 |
| Kurt Moore              |       94 |                     70 |                         48 |
| Stacy Perez             |       32 |                     53 |                         12 |
| Daniel Mccoy            |       14 |                     89 |                         17 |
| Paula Ruiz              |      691 |                     80 |                         16 |
| Eric Miller             |      667 |                     77 |                         37 |
| Mrs. Jessica Wood       |       95 |                     66 |                         35 |
| Jessica Martin          |       40 |                     43 |                         12 |
| Shawn Randall           |       71 |                     67 |                         10 |
| Andrea King             |       42 |                     28 |                         20 |
| Jennifer Morris         |      560 |                     84 |                         14 |
| Amy Pena                |      155 |                     49 |                         37 |
| Meghan Ewing            |      618 |                     81 |                         43 |
| Jo Bush                 |       57 |                     91 |                         27 |
| Eric Davidson           |       72 |                     57 |                         10 |
| Kyle Williams           |       56 |                     64 |                         43 |
| Jeremy Price            |       97 |                     65 |                         31 |
| Kevin Shepherd          |      747 |                     38 |                         33 |
| Jason Foley             |       64 |                     48 |                         47 |
| Lisa Mcintyre           |       12 |                     78 |                         47 |
| Diana Lewis             |      767 |                     67 |                         24 |
| William Peters          |      682 |                     95 |                         41 |
| Colleen Riley           |      164 |                     67 |                         35 |
| Brett Curry             |      787 |                     29 |                          2 |
| Zachary Meyer           |        8 |                     49 |                         38 |
| Javier Smith            |       38 |                     78 |                         25 |
| Lisa Welch              |       49 |                     49 |                         42 |
| Savannah Williams       |       12 |                     78 |                         47 |
| Paul Munoz              |       46 |                     92 |                         32 |
| Stacy Ramirez           |       28 |                     59 |                         20 |
| Brenda White            |       28 |                     59 |                         20 |
| Kyle Stuart             |       49 |                     49 |                         42 |
| Hunter Ramirez          |      784 |                     51 |                          2 |
| Alexander Hancock       |      786 |                     50 |                         33 |
| Patricia James          |      717 |                     95 |                         26 |
| Angela Deleon           |       92 |                     89 |                         48 |
| Kyle Doyle              |       16 |                     94 |                         29 |
| Thomas Wilkins          |       59 |                     81 |                         27 |
| Erin Owens              |       72 |                     57 |                         10 |
| Amanda Sampson          |      628 |                     66 |                         20 |
| Robert Murphy           |       14 |                     89 |                         17 |
| Barbara Horton          |       49 |                     49 |                         42 |
| William Barnett         |       18 |                     98 |                         29 |
| Jennifer Long           |       92 |                     89 |                         48 |
| David Atkinson          |       35 |                     70 |                         34 |
| Cameron Fisher          |      702 |                     28 |                          4 |
| Angela Rogers PhD       |      779 |                     30 |                         21 |
| John Barrett            |       40 |                     43 |                         12 |
| Anita Hernandez         |       64 |                     48 |                         47 |
| Alan Brown              |      658 |                     88 |                         35 |
| Brittany Medina         |       59 |                     81 |                         27 |
| Michael Johnson         |      661 |                     76 |                         19 |
| Jessica Pratt           |       25 |                     41 |                         26 |
| Jennifer King           |       64 |                     48 |                         47 |
| Brad Mitchell           |      652 |                     65 |                         40 |
| Claudia Clark           |       97 |                     65 |                         31 |
| Joseph Heath            |      669 |                     49 |                         14 |
| Aaron Yoder             |       46 |                     92 |                         32 |
| Jennifer Ward           |      708 |                     84 |                         23 |
| Amy Dalton              |      683 |                     60 |                         11 |
| Kathy Green             |      620 |                     47 |                         35 |
| Jennifer Jennings       |       97 |                     65 |                         31 |
| Dr. William Martinez    |       12 |                     78 |                         47 |
| Benjamin Murray         |       90 |                     57 |                         30 |
| Danielle Garcia         |       43 |                     63 |                         14 |
| Janet Jenkins MD        |      690 |                     70 |                          3 |
| John Russell            |      130 |                     70 |                         35 |
| John Pham               |       45 |                     28 |                         22 |
| Jessica Hoover          |       27 |                     74 |                         33 |
| Timothy Riley           |       33 |                     35 |                         35 |
| David Soto              |       30 |                     41 |                         11 |
| Mark Lawson             |       95 |                     66 |                         35 |
| Erica Santana           |      763 |                     36 |                          4 |
| Robin Wise              |        4 |                     67 |                         36 |
| Mrs. Emily Fisher DVM   |      164 |                     67 |                         35 |
| Jill Johnson            |       90 |                     57 |                         30 |
| Albert Mcdonald         |       42 |                     28 |                         20 |
| Heather Black           |      550 |                     63 |                         19 |
| Michael Bennett         |      703 |                     31 |                         15 |
| Jennifer Thomas         |      155 |                     49 |                         37 |
| Christopher Vaughn      |       28 |                     59 |                         20 |
| Randy Cross             |       95 |                     66 |                         35 |
| Micheal Clarke          |       52 |                     61 |                         25 |
| Amanda Valdez           |       38 |                     78 |                         25 |
| Paul Sanchez            |       94 |                     70 |                         48 |
| Paul Gonzalez           |       11 |                    100 |                         47 |
| Amy Blair               |       91 |                     93 |                          8 |
| Jennifer Robles         |       93 |                     39 |                         10 |
| Jacob Price             |      635 |                     65 |                         37 |
| Jamie Smith             |       23 |                     92 |                         48 |
| Shawn Coleman           |      736 |                     65 |                         41 |
| Laura Miller            |       91 |                     93 |                          8 |
| Melissa Weber           |      679 |                     68 |                         43 |
| Stephanie Spencer       |       25 |                     41 |                         26 |
| Christine Melton        |       29 |                     72 |                         18 |
| Mr. Johnathan Wyatt     |       25 |                     41 |                         26 |
| Amy Alexander           |      746 |                     28 |                         25 |
| Kimberly Williams       |      740 |                     52 |                         40 |
| David Herrera           |       91 |                     93 |                          8 |
| Sharon Alexander        |       95 |                     66 |                         35 |
| Kerry Duarte            |      791 |                     74 |                         45 |
| David Little            |       49 |                     49 |                         42 |
| Timothy Booth           |      615 |                     76 |                         11 |
| Patrick Cuevas          |       97 |                     65 |                         31 |
| John Shepherd           |       24 |                     34 |                         19 |
| Julie Carter            |        1 |                     85 |                         34 |
| Albert Barrera          |      616 |                     93 |                         30 |
| Randy Wood              |       17 |                     82 |                         24 |
| Mark Green              |      639 |                     88 |                         27 |
| Johnathan Burch         |       49 |                     49 |                         42 |
| Joseph Oneill           |       92 |                     89 |                         48 |
| Brian Walker            |      610 |                     47 |                         26 |
| Donna Hale              |       45 |                     28 |                         22 |
| Sara Kim                |       45 |                     28 |                         22 |
| Christy Summers         |      613 |                     57 |                         36 |
| David Jones             |      694 |                     52 |                          2 |
| Frank Johnson           |      755 |                     50 |                         14 |
| Ashley Santiago         |      599 |                     36 |                         24 |
| Raymond Guzman          |       16 |                     94 |                         29 |
| Nicole Brown            |      738 |                     92 |                          8 |
| Erica Wagner            |       39 |                     96 |                         33 |
| Jackie Salas            |      695 |                     84 |                          5 |
| Richard Cook            |       45 |                     28 |                         22 |
| Ethan Rodriguez         |      130 |                     70 |                         35 |
| Dr. James Hernandez     |       16 |                     94 |                         29 |
| Margaret Barton         |       20 |                     54 |                         46 |
| Scott Joseph            |       10 |                     28 |                         12 |
| James Phillips          |       35 |                     70 |                         34 |
| Amy Vincent             |        3 |                     30 |                         28 |
| Matthew Brown           |       35 |                     70 |                         34 |
| Nicholas Armstrong      |       91 |                     93 |                          8 |
| Robert Byrd             |      653 |                     93 |                         39 |
| Roy Diaz                |      660 |                     43 |                         25 |
| Mr. Vincent Brown       |       55 |                     53 |                         37 |
| Hannah Montes           |       23 |                     92 |                         48 |
| Ryan Ramirez            |      657 |                     94 |                         36 |
| Riley Clay              |       53 |                     90 |                         11 |
| Ricky Morris            |       93 |                     39 |                         10 |
| Paula Summers           |       95 |                     66 |                         35 |
| Christian Garcia        |       88 |                     91 |                         49 |
| Damon Smith             |       95 |                     66 |                         35 |
| Melanie Myers           |       22 |                     67 |                         22 |
| Benjamin Parker         |       20 |                     54 |                         46 |
| Michael Howell          |       42 |                     28 |                         20 |
| Ashley Thompson         |      155 |                     49 |                         37 |
| Jon Cook                |       41 |                     33 |                         16 |
| Angel Williams          |       19 |                     25 |                         16 |
| Brian King              |      649 |                     63 |                         20 |
| Cheyenne Smith          |       71 |                     67 |                         10 |
| Zachary Deleon          |       35 |                     70 |                         34 |
| Stephanie Harrison      |       16 |                     94 |                         29 |
| Samuel Shepard          |       55 |                     53 |                         37 |
| Amanda Galloway         |        9 |                     85 |                         47 |
| Jonathan Carroll MD     |       51 |                     86 |                          8 |
| Ryan Miles              |      749 |                     83 |                         12 |
| Robin Gordon            |       16 |                     94 |                         29 |
| Zachary Miller          |      596 |                     99 |                         13 |
| Catherine Mccormick     |       52 |                     61 |                         25 |
| Donna Ortega            |       51 |                     86 |                          8 |
| Faith Dunlap            |       17 |                     82 |                         24 |
| Richard Oconnor         |       21 |                     98 |                         14 |
| Christopher Davidson    |      668 |                     92 |                          7 |
| Joy Sharp               |       28 |                     59 |                         20 |
| Mrs. Jessica Burke      |      645 |                     28 |                         18 |
| Lindsay Larson          |       23 |                     92 |                         48 |
| Ashley Perez            |       39 |                     96 |                         33 |
| Gregory Ramirez         |       99 |                     38 |                         12 |
| Jason Jimenez           |       35 |                     70 |                         34 |
| Lacey Mitchell          |       51 |                     86 |                          8 |
| Ashley Osborn           |       94 |                     70 |                         48 |
| Brittany Johnson        |       45 |                     28 |                         22 |
| Donald Garcia           |      164 |                     67 |                         35 |
| Laura Boyd              |        8 |                     49 |                         38 |
| William Roman           |       23 |                     92 |                         48 |
| Martha Smith            |      623 |                     82 |                         31 |
| Lauren Johnson          |      619 |                     36 |                         18 |
| Henry Gonzales          |      164 |                     67 |                         35 |
| Mindy Carter            |       57 |                     91 |                         27 |
| Christopher Berger      |       18 |                     98 |                         29 |
| Mr. James Smith         |       12 |                     78 |                         47 |
| Ryan Kelley MD          |       14 |                     89 |                         17 |
| Caitlin Fletcher        |       59 |                     81 |                         27 |
| John Oneill             |       16 |                     94 |                         29 |
| Danielle Hansen         |       26 |                     44 |                         17 |
| Heather Burgess         |      762 |                     43 |                         16 |
| Breanna Fry             |       88 |                     91 |                         49 |
| Anthony Brooks          |      155 |                     49 |                         37 |
| Derek Jones             |      155 |                     49 |                         37 |
| Patricia Anderson       |       90 |                     57 |                         30 |
| Michelle Barton         |      564 |                     61 |                          5 |
| Evelyn Woodard          |      699 |                     32 |                          9 |
| Kimberly Jackson        |       25 |                     41 |                         26 |
| James Johnson           |        9 |                     85 |                         47 |
| Melvin Harrington       |      130 |                     70 |                         35 |
| Stephen Johnson         |       16 |                     94 |                         29 |
| Stephanie Osborn        |      640 |                     83 |                         19 |
| Dean Wilkerson          |      712 |                     28 |                          4 |
| Laura Miles             |       55 |                     53 |                         37 |
| Meredith Bolton         |      155 |                     49 |                         37 |
| Christopher Wilkins     |      776 |                     63 |                         32 |
| Virginia Bruce          |      724 |                     92 |                         24 |
| Anthony Preston         |       32 |                     53 |                         12 |
| Lawrence Cook MD        |        9 |                     85 |                         47 |
| Andrew Haney            |       92 |                     89 |                         48 |
| Teresa Mcmillan         |      104 |                     45 |                          5 |
| Travis Barnes           |      665 |                     79 |                         15 |
| James Crawford          |       96 |                     88 |                         38 |
| Tanya Whitehead         |       99 |                     38 |                         12 |
| Jasmine Bailey          |       54 |                     85 |                          2 |
| Karen Coleman           |       35 |                     70 |                         34 |
| Barbara Harris          |       92 |                     89 |                         48 |
| Emma Jones              |       41 |                     33 |                         16 |
| Steven Mendoza          |       41 |                     33 |                         16 |
| Mary Bennett            |       10 |                     28 |                         12 |
| Nicholas Smith          |       98 |                     35 |                         33 |
| James Hardy             |      104 |                     45 |                          5 |
| Sylvia Holland          |       92 |                     89 |                         48 |
| Leah Smith              |        8 |                     49 |                         38 |
| Jessica Murray          |      744 |                     79 |                         13 |
| Maria Chavez            |       20 |                     54 |                         46 |
| Beverly Downs           |       95 |                     66 |                         35 |
| Daniel Odonnell         |        9 |                     85 |                         47 |
| Jennifer Mcbride        |      559 |                     95 |                         47 |
| Corey Stevens           |       45 |                     28 |                         22 |
| Preston Foster          |       99 |                     38 |                         12 |
| Heather Garner          |      678 |                     30 |                         11 |
| Julie Johnson           |       28 |                     59 |                         20 |
| Colleen Kirk            |       16 |                     94 |                         29 |
| Anthony Newman          |       21 |                     98 |                         14 |
| Kristin Mccormick       |       24 |                     34 |                         19 |
| Linda Obrien            |       20 |                     54 |                         46 |
| Allen Payne             |       52 |                     61 |                         25 |
| Ryan Prince             |      692 |                     94 |                         24 |
| Pamela Newman           |      666 |                     57 |                         40 |
| Dominique Thomas        |       99 |                     38 |                         12 |
| David Hernandez         |        9 |                     85 |                         47 |
| Brandon Todd            |      718 |                     87 |                         44 |
| Kristen Rodriguez       |       88 |                     91 |                         49 |
| Taylor Moreno           |        6 |                     34 |                         16 |
| Connor Carr             |      796 |                     51 |                         31 |
| Carlos Wade             |       76 |                     90 |                         13 |
| Bryan Flores            |      562 |                     32 |                         15 |
| Diana Morgan            |       29 |                     72 |                         18 |
| Jesse Thomas            |       11 |                    100 |                         47 |
| Mark Nichols            |       18 |                     98 |                         29 |
| James Morgan            |       92 |                     89 |                         48 |
| Katie Greene            |       98 |                     35 |                         33 |
| Dawn Cruz               |       32 |                     53 |                         12 |
| Glenda Schneider        |      797 |                     81 |                          2 |
| Dustin Baker MD         |      734 |                     35 |                         31 |
| Brian Salinas           |      558 |                     30 |                          5 |
| Sarah Miller            |       52 |                     61 |                         25 |
| Sarah Thomas            |      709 |                     95 |                         44 |
| David Collier           |       94 |                     70 |                         48 |
| Mrs. Laura Edwards      |      792 |                     95 |                         10 |
| Alexander Wright        |       56 |                     64 |                         43 |
| Dr. Gregory Stewart DDS |       13 |                     77 |                         10 |
| Phillip Glover          |       14 |                     89 |                         17 |
| Rachel Peterson         |       38 |                     78 |                         25 |
| Rebecca Patterson       |       20 |                     54 |                         46 |
| Natasha Bender          |       12 |                     78 |                         47 |
| Stephanie Marquez       |      785 |                     94 |                         17 |
| Tonya Good              |      104 |                     45 |                          5 |
| Madison Thomas          |       21 |                     98 |                         14 |
| Kenneth Cole            |       90 |                     57 |                         30 |
| Jake Navarro            |        6 |                     34 |                         16 |
| Katelyn Smith           |       49 |                     49 |                         42 |
| Thomas Morrison         |       18 |                     98 |                         29 |
| Lisa Shaw               |       95 |                     66 |                         35 |
| Carolyn Lynch           |      595 |                     67 |                         12 |
| Donna Howell            |       33 |                     35 |                         35 |
| Christopher Sims        |      672 |                     54 |                         29 |
| Andrew Wade             |      721 |                     44 |                         28 |
| Dr. Brianna Turner      |       25 |                     41 |                         26 |
| Marissa Cortez          |       72 |                     57 |                         10 |
| Michael Rodriguez       |      768 |                     42 |                         25 |
| Justin Garcia           |       52 |                     61 |                         25 |
| Christina Cook          |       40 |                     43 |                         12 |
| Holly Hayes             |       64 |                     48 |                         47 |
| Christopher Thomas      |       96 |                     88 |                         38 |
| Andrea Thomas           |      656 |                     56 |                         25 |
| Jordan Hunter           |       40 |                     43 |                         12 |
| Debra Skinner           |       25 |                     41 |                         26 |
| Charles Jackson         |      164 |                     67 |                         35 |
| Alexander Dalton        |       90 |                     57 |                         30 |
| Chad Jackson            |       35 |                     70 |                         34 |
| Elizabeth Page          |       23 |                     92 |                         48 |
| James Schmidt           |        3 |                     30 |                         28 |
| Ryan Mullins            |       35 |                     70 |                         34 |
| Catherine Johnson       |       22 |                     67 |                         22 |
| Craig Young             |        8 |                     49 |                         38 |
| Carol Bishop            |        9 |                     85 |                         47 |
| Jaclyn Hensley          |      761 |                     38 |                         20 |
| Steven Jackson          |       17 |                     82 |                         24 |
| Tammy Stanton           |       20 |                     54 |                         46 |
| Karen Anderson          |      130 |                     70 |                         35 |
| Michelle Flowers        |       57 |                     91 |                         27 |
| Tanya Watkins           |        1 |                     85 |                         34 |
| Dawn Conley             |       21 |                     98 |                         14 |
| Pam Burnett             |      748 |                     96 |                         12 |
| Carl Washington         |        8 |                     49 |                         38 |
| Melissa Martin          |       29 |                     72 |                         18 |
| Jill Avila              |       20 |                     54 |                         46 |
| Michael Perry           |       94 |                     70 |                         48 |
| Carolyn Jenkins         |       53 |                     90 |                         11 |
| Eric Stone              |       39 |                     96 |                         33 |
| Cathy Oliver            |       99 |                     38 |                         12 |
| Margaret Alexander      |       32 |                     53 |                         12 |
| Kimberly Harrington     |      773 |                     83 |                         15 |
| Heather Johnson         |       49 |                     49 |                         42 |
| Jennifer Henderson      |       38 |                     78 |                         25 |
| Joanna Barajas          |       27 |                     74 |                         33 |
| John Nash               |      648 |                     54 |                         40 |
| Amber Rodriguez         |       96 |                     88 |                         38 |
| Juan Johnson DVM        |       32 |                     53 |                         12 |
| Zachary Chan            |       96 |                     88 |                         38 |
| Justin Hays             |       56 |                     64 |                         43 |
| Jennifer Dorsey         |       23 |                     92 |                         48 |
| Terry Phelps            |       95 |                     66 |                         35 |
| Marc Collins            |      644 |                     83 |                         19 |
| Phyllis Kemp            |       32 |                     53 |                         12 |
| Rachel Gomez            |      777 |                     85 |                         48 |
| Michael Dawson          |       43 |                     63 |                         14 |
| Carlos Webster          |       50 |                     51 |                         23 |
| Christine Stanley       |        7 |                     88 |                          1 |
| Nicole Olson            |      798 |                     51 |                         32 |
| Shane Davidson          |       46 |                     92 |                         32 |
| Juan Thompson           |       22 |                     67 |                         22 |
| Kevin Arnold            |       11 |                    100 |                         47 |
| Leah James              |       46 |                     92 |                         32 |
| Lisa Dodson             |       96 |                     88 |                         38 |
| Kenneth Robbins         |       92 |                     89 |                         48 |
| Ricky Livingston        |      793 |                     81 |                         31 |
| Tyler Martin            |       50 |                     51 |                         23 |
| Jason Stewart           |      632 |                     81 |                         19 |
| Abigail Bridges         |      155 |                     49 |                         37 |
| Mr. Frank Jackson DDS   |       94 |                     70 |                         48 |
| Mr. Matthew Yang DVM    |      130 |                     70 |                         35 |
| Virginia Gomez          |       18 |                     98 |                         29 |
| James Morris            |       50 |                     51 |                         23 |
+-------------------------+----------+------------------------+----------------------------+
757 rows in set (0.01 sec)

mysql> EXPLAIN SELECT Customer.c_name, Locker_room.*
    -> FROM Customer
    -> JOIN Rents ON Customer.customer_id = Rents.customer_id
    -> JOIN Locker_room ON Rents.space_id = Locker_room.space_id;
+----+-------------+-------------+------------+--------+------------------------------+-----------------+---------+-------------------------+------+----------+--------------------------+
| id | select_type | table       | partitions | type   | possible_keys                | key             | key_len | ref                     | rows | filtered | Extra                    |
+----+-------------+-------------+------------+--------+------------------------------+-----------------+---------+-------------------------+------+----------+--------------------------+
|  1 | SIMPLE      | Rents       | NULL       | index  | idx_customer_id,idx_space_id | idx_customer_id | 5       | NULL                    |  793 |   100.00 | Using where; Using index |
|  1 | SIMPLE      | Locker_room | NULL       | eq_ref | PRIMARY                      | PRIMARY         | 2       | perfo.Rents.space_id    |    1 |   100.00 | NULL                     |
|  1 | SIMPLE      | Customer    | NULL       | eq_ref | PRIMARY                      | PRIMARY         | 4       | perfo.Rents.customer_id |    1 |   100.00 | NULL                     |
+----+-------------+-------------+------------+--------+------------------------------+-----------------+---------+-------------------------+------+----------+--------------------------+
3 rows in set, 1 warning (0.00 sec)

mysql>
